,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
3757,Georgia,2021-04-01T00:00:00.000,244411.02270342456,4.3456902074904065,6.497873633049819,0.8478625588905013
5936,Nebraska,2024-11-01T00:00:00.000,257359.5707789624,5.421543356991606,2.9055285540704743,0.8478590134065278
4604,Pennsylvania,2022-09-01T00:00:00.000,244660.75082536825,5.384719765615046,3.0258201701093563,0.8478525476533654
6018,Missouri,2025-01-01T00:00:00.000,247436.09540808297,4.755505630228072,5.431652490886999,0.8478495251148819
5786,Nebraska,2024-08-01T00:00:00.000,255324.4335400476,5.421543356991606,2.9055285540704743,0.8478184969349098
3815,Tennessee,2021-05-01T00:00:00.000,238977.54555588964,4.953234119897388,5.784325637910086,0.8477895249425909
1313,Arizona,2017-03-01T00:00:00.000,233315.7346009314,4.661334393332254,8.654921020656138,0.8477585146931452
3219,Wisconsin,2020-05-01T00:00:00.000,211070.82423006505,5.093094682170886,1.3636087484811668,0.8477471604306668
5104,Pennsylvania,2023-07-01T00:00:00.000,250107.9845758728,5.384719765615046,3.0258201701093563,0.8477397459834884
529,Utah,2015-11-01T00:00:00.000,251263.880873798,6.075993788577762,3.5425273390036454,0.8477342945675751
4505,Illinois,2022-07-01T00:00:00.000,246098.37206782136,5.358720940699641,7.296172539489672,0.8477320887079187
131,Nevada,2015-03-01T00:00:00.000,210355.6195939464,5.220422167772995,8.028857837181047,0.8477173916477064
3298,Vermont,2020-06-01T00:00:00.000,265993.72322856577,10,1.2269137302551643,0.8476352715257354
3351,Texas,2020-08-01T00:00:00.000,221709.73675505104,5.2401719905547,6.087788578371811,0.8476124487436266
4955,Illinois,2023-04-01T00:00:00.000,243848.38877208115,5.358720940699641,7.296172539489672,0.8475990654471572
2852,Florida,2019-10-01T00:00:00.000,253935.2221477984,5.45553754827597,10,0.8475711498733092
2902,Florida,2019-11-01T00:00:00.000,255263.52984825216,5.45553754827597,10,0.8475544590956695
331,Nevada,2015-07-01T00:00:00.000,218080.0829748878,5.220422167772995,8.028857837181047,0.847540071452893
849,Wyoming,2016-05-01T00:00:00.000,228628.4238610972,8.393929876542643,4.562272174969624,0.8475204043071192
5986,Nebraska,2024-12-01T00:00:00.000,258572.53358262585,5.421543356991606,2.9055285540704743,0.847500298750118
4355,Illinois,2022-04-01T00:00:00.000,241020.8329452333,5.358720940699641,7.296172539489672,0.8474502544300835
281,Nevada,2015-06-01T00:00:00.000,215847.3344977695,5.220422167772995,8.028857837181047,0.8474269319197825
2193,Montana,2018-08-01T00:00:00.000,250954.1465977036,6.690275325424409,3.1406439854191985,0.8474024752258774
2337,Idaho,2018-11-01T00:00:00.000,255236.2998053381,4.958113497381419,3.2882746051032807,0.847370016690873
